"Plant_Simple";"Group";"Plot";"Subplot";"visits";"neigh.visits"
"CHFU";"Bees";2;"C3";0;0
"CHMI";"Bees";2;"C3";0;0
"HOMA";"Bees";2;"C3";0;0
"LEMA";"Bees";2;"C3";0;0
"ME";"Bees";2;"C3";0;1
"PUPA";"Bees";2;"C3";0;0
"RAPE";"Bees";2;"C3";0;0
"CHFU";"Beetles";2;"C3";0;0
"CHMI";"Beetles";2;"C3";0;0
"HOMA";"Beetles";2;"C3";1;1
"LEMA";"Beetles";2;"C3";0;10
"ME";"Beetles";2;"C3";0;0
"PUPA";"Beetles";2;"C3";0;0
"RAPE";"Beetles";2;"C3";0;0
"CHFU";"Flies";2;"C3";0;0
"CHMI";"Flies";2;"C3";0;0
"HOMA";"Flies";2;"C3";0;0
"LEMA";"Flies";2;"C3";1;1
"ME";"Flies";2;"C3";0;1
"PUPA";"Flies";2;"C3";0;0
"RAPE";"Flies";2;"C3";0;0
"CHFU";"Butterflies";2;"C3";0;0
"CHMI";"Butterflies";2;"C3";0;0
"HOMA";"Butterflies";2;"C3";0;0
"LEMA";"Butterflies";2;"C3";0;0
"ME";"Butterflies";2;"C3";0;0
"PUPA";"Butterflies";2;"C3";0;0
"RAPE";"Butterflies";2;"C3";0;0
"CHFU";"Bees";4;"C3";0;0
"CHMI";"Bees";4;"C3";0;0
"HOMA";"Bees";4;"C3";0;0
"LEMA";"Bees";4;"C3";0;0
"ME";"Bees";4;"C3";0;1
"PUPA";"Bees";4;"C3";0;0
"RAPE";"Bees";4;"C3";0;0
"CHFU";"Beetles";4;"C3";0;0
"CHMI";"Beetles";4;"C3";0;0
"HOMA";"Beetles";4;"C3";0;4
"LEMA";"Beetles";4;"C3";0;7
"ME";"Beetles";4;"C3";0;0
"PUPA";"Beetles";4;"C3";0;0
"RAPE";"Beetles";4;"C3";0;0
"CHFU";"Flies";4;"C3";0;0
"CHMI";"Flies";4;"C3";0;0
"HOMA";"Flies";4;"C3";0;0
"LEMA";"Flies";4;"C3";0;1
"ME";"Flies";4;"C3";0;0
"PUPA";"Flies";4;"C3";0;0
"RAPE";"Flies";4;"C3";0;0
"CHFU";"Butterflies";4;"C3";0;0
"CHMI";"Butterflies";4;"C3";0;0
"HOMA";"Butterflies";4;"C3";0;0
"LEMA";"Butterflies";4;"C3";0;0
"ME";"Butterflies";4;"C3";0;0
"PUPA";"Butterflies";4;"C3";0;0
"RAPE";"Butterflies";4;"C3";0;0
"CHFU";"Bees";7;"C3";0;0
"CHMI";"Bees";7;"C3";0;0
"HOMA";"Bees";7;"C3";0;0
"LEMA";"Bees";7;"C3";0;2
"ME";"Bees";7;"C3";0;0
"PUPA";"Bees";7;"C3";0;0
"RAPE";"Bees";7;"C3";0;0
"CHFU";"Beetles";7;"C3";0;0
"CHMI";"Beetles";7;"C3";0;0
"HOMA";"Beetles";7;"C3";0;0
"LEMA";"Beetles";7;"C3";0;11
"ME";"Beetles";7;"C3";0;0
