"Day";"Month";"plot";"subplot";"vis";"Plant";"individuals";"seed";"fruit";"flowers";"x_coor2";"y_coor2";"flowers2";"visits.flower";"seed.indv";"unique_id";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
NA;NA;1;"B4";0;"SOAS";2;1925;35;NA;2;5;NA;NA;67375;"1_B4_SOAS_NA";0;0;0;0;0,01;"a";2711;2711;"a";2711;25
NA;NA;1;"B5";0;"BEMA";6;360;90;NA;2;6,5;NA;NA;32400;"1_B5_BEMA_NA";0;0;0;0;0,01;"a";2485;2485;"a";2485;251
NA;NA;1;"B5";0;"PUPA";1;161;7;NA;2;6,5;NA;NA;1127;"1_B5_PUPA_NA";0;0;0;0;0,01;"a";2722;2722;"a";2722;14
NA;NA;1;"C2";0;"BEMA";7;64;16;NA;3,5;2;NA;NA;1024;"1_C2_BEMA_NA";0;0;0;0;0,01;"a";2485;2485;"a";2485;251
NA;NA;1;"C2";0;"CETE";3;1443;13;NA;3,5;2;NA;NA;18759;"1_C2_CETE_NA";0;0;0;0;0,01;"a";2609;2609;"a";2609;127
NA;NA;1;"C2";0;"CHFU";2;288;9;NA;3,5;2;NA;NA;2592;"1_C2_CHFU_NA";0;0;0;0;0,01;"a";2704;2704;"a";2704;32
NA;NA;1;"C2";1;"PUPA";1;217,5;7,5;NA;3,5;2;NA;NA;1631,25;"1_C2_PUPA_NA";0;0;0;0;1;"a";2722;2722;"a";2722;14
NA;NA;1;"C2";0;"SOAS";1;165;3;NA;3,5;2;NA;NA;495;"1_C2_SOAS_NA";0;0;0;0;0,01;"a";2711;2711;"a";2711;25
NA;NA;1;"C3";0;"BEMA";8;456;114;NA;3,5;3,5;NA;NA;51984;"1_C3_BEMA_NA";0;0;0;0;0,01;"a";2485;2485;"a";2485;251
NA;NA;1;"C3";0;"CETE";1;888;8;NA;3,5;3,5;NA;NA;7104;"1_C3_CETE_NA";0;0;0;0;0,01;"a";2609;2609;"a";2609;127
NA;NA;1;"C3";0;"CHFU";4;992;31;NA;3,5;3,5;NA;NA;30752;"1_C3_CHFU_NA";0;0;0;0;0,01;"a";2704;2704;"a";2704;32
NA;NA;1;"C3";0;"PUPA";1;92;4;NA;3,5;3,5;NA;NA;368;"1_C3_PUPA_NA";0;0;0;0;0,01;"a";2722;2722;"a";2722;14
NA;NA;1;"C4";0;"BEMA";5;860;215;NA;3,5;5;NA;NA;184900;"1_C4_BEMA_NA";0;0;0;0;0,01;"a";2485;2485;"a";2485;251
NA;NA;1;"C4";0;"CETE";1;555;5;NA;3,5;5;NA;NA;2775;"1_C4_CETE_NA";0;0;0;0;0,01;"a";2609;2609;"a";2609;127
