"Day";"Month";"plot";"subplot";"Group";"vis";"Plant";"individuals";"seed";"fruit";"visits";"flowers";"x_coor2";"y_coor2";"neigh_inter.plot";"neigh_intra.plot";"neigh_intra.3m";"neigh_inter.3m";"neigh_inter.1m";"neigh_intra.1m";"neigh_inter.7.5";"neigh_intra.7.5";"flowers2";"visits.flower";"seed.indv";"unique_id"
5;3;9;"B2";"Fly";1;"CHFU";4;56;2;1;30;314;286;2383;397;70;429;52;4;5;0;30;0,0333333333333333;112;"9_B2_CHFU_Fly"
5;3;9;"B3";"Beetle";1;"CHFU";1;32;1;1;21;314;287,5;2383;397;45;467;57;1;2;0;21;0,0476190476190476;32;"9_B3_CHFU_Beetle"
5;3;9;"C2";"Beetle";4;"CHFU";14;464;8;4;30;315,5;286;2383;397;123;424;59;14;6;0;30;0,133333333333333;3712;"9_C2_CHFU_Beetle"
5;3;9;"C3";"Beetle";3;"CHFU";17;62;2;3;36;315,5;287,5;2383;397;101;442;48;17;3;0;36;0,0833333333333333;124;"9_C3_CHFU_Beetle"
5;3;9;"C4";"Beetle";1;"CHFU";7;32;1;1;25;315,5;289;2383;397;91;492;63;7;1;0;25;0,04;32;"9_C4_CHFU_Beetle"
5;3;9;"C5";"Beetle";2;"CHFU";5;121,5;3;2;26;315,5;290,5;2383;397;52;559;73;5;10;0;26;0,0769230769230769;364,5;"9_C5_CHFU_Beetle"
5;3;9;"D2";"Beetle";1;"CHFU";19;57;6;1;80;317;286;2383;397;162;497;53;19;2;0;80;0,0125;342;"9_D2_CHFU_Beetle"
5;3;9;"D2";"Fly";1;"CHFU";19;57;6;1;80;317;286;2383;397;162;497;53;19;2;0;80;0,0125;342;"9_D2_CHFU_Fly"
5;3;9;"D3";"Fly";2;"CHFU";35;795;10;2;100;317;287,5;2383;397;121;473;47;35;0;0;100;0,02;7950;"9_D3_CHFU_Fly"
5;3;9;"D5";"Fly";1;"CHFU";10;50;2;1;11;317;290,5;2383;397;80;536;74;10;1;0;11;0,0909090909090909;100;"9_D5_CHFU_Fly"
5;3;9;"E2";"Beetle";1;"CHFU";4;16;1;1;50;318,5;286;2383;397;167;549;89;4;3;2;50;0,02;16;"9_E2_CHFU_Beetle"
5;3;9;"E3";"Beetle";3;"CHFU";23;240;12;3;70;318,5;287,5;2383;397;143;523;54;23;2;3;70;0,0428571428571429;2880;"9_E3_CHFU_Beetle"
5;3;9;"E4";"Beetle";3;"CHFU";17;448;8;3;80;318,5;289;2383;397;148;546;70;17;3;1;80;0,0375;3584;"9_E4_CHFU_Beetle"
5;3;9;"E4";"Fly";1;"CHFU";17;448;8;1;80;318,5;289;2383;397;148;546;70;17;3;1;80;0,0125;3584;"9_E4_CHFU_Fly"
5;3;9;"E5";"Beetle";1;"CHFU";13;252;6;1;40;318,5;290,5;2383;397;117;563;63;13;3;0;40;0,025;1512;"9_E5_CHFU_Beetle"
5;5;2;"E2";"Fly";1;"LEMA";61;1540;14;1;NA;39,5;28;1545;2831;542;247;18;61;1;0;0;Inf;21560;"2_E2_LEMA_Fly"
5;5;2;"E3";"Fly";1;"LEMA";46;930;6;1;NA;39,5;29,5;1545;2831;494;218;37;46;1;1;0;Inf;5580;"2_E3_LEMA_Fly"
5;5;5;"C5";"Fly";1;"LEMA";6;52;4;1;NA;125,5;158,5;2657;294;53;522;48;6;6;0;0;Inf;208;"5_C5_LEMA_Fly"
5;5;5;"D2";"Bee";2;"LEMA";7;58;1;2;NA;127;154;2657;294;57;572;59;7;8;0;0;Inf;58;"5_D2_LEMA_Bee"
5;5;7;"C2";"Fly";2;"BEMA";4;224;56;2;NA;236,5;289;7298;269;46;1241;201;4;5;0;0;Inf;12544;"7_C2_BEMA_Fly"
5;5;7;"C4";"Fly";1;"LEMA";36;116;2;1;NA;236,5;292;6322;1245;308;1443;119;36;4;5;0;Inf;232;"7_C4_LEMA_Fly"
5;5;7;"D4";"Fly";1;"LEMA";55;116;2;1;NA;238;292;6322;1245;348;1113;191;55;1;5;0;Inf;232;"7_D4_LEMA_Fly"
5;5;7;"E2";"Fly";1;"LEMA";32;348;6;1;NA;239,5;289;6322;1245;164;1248;186;32;7;1;0;Inf;2088;"7_E2_LEMA_Fly"
5;5;7;"E4";"Fly";1;"LEMA";52;174;3;1;NA;239,5;292;6322;1245;358;1235;165;52;3;1;0;Inf;522;"7_E4_LEMA_Fly"
5;5;8;"D2";"Fly";1;"LEMA";38;232;4;1;NA;277;270;6812;888;235;1571;147;38;1;2;0;Inf;928;"8_D2_LEMA_Fly"
5;5;9;"B3";"Fly";2;"LEMA";6;870;15;2;NA;314;287,5;2551;229;64;448;52;6;0;0;0;Inf;13050;"9_B3_LEMA_Fly"
5;5;9;"C3";"Beetle";1;"SCLA";6;248;8;1;NA;315,5;287,5;2413;367;82;461;59;6;2;2;0;Inf;1984;"9_C3_SCLA_Beetle"
5;5;9;"D2";"Fly";1;"LEMA";9;270;9;1;NA;317;286;2551;229;59;600;63;9;4;0;0;Inf;2430;"9_D2_LEMA_Fly"
5;5;9;"E2";"Fly";3;"LEMA";1;116;2;3;NA;318,5;286;2551;229;39;677;93;0;5;0;0;Inf;232;"9_E2_LEMA_Fly"
6;5;1;"D4";"Butterfly";1;"LEMA";45;864,5;13;1;25;5;5;867;1869;499;127;5;45;1;2;25;0,04;11238,5;"1_D4_LEMA_Butterfly"
6;5;1;"E2";"Bee";4;"LEMA";57;994,5;13;4;30;6,5;2;867;1869;420;265;13;57;1;2;30;0,133333333333333;12928,5;"1_E2_LEMA_Bee"
6;5;2;"C5";"Bee";2;"LEMA";125;666;6;2;15;36,5;32,5;1545;2831;643;419;37;125;1;2;15;0,133333333333333;3996;"2_C5_LEMA_Bee"
6;5;3;"B5";"Bee";1;"LEMA";28;296,666666666667;5;1;7;80;60,5;5887;887;206;1257;221;28;9;0;7;0,142857142857143;1483,33333333333;"3_B5_LEMA_Bee"
6;5;8;"C4";"Bee";2;"LEMA";42;58;1;2;NA;275,5;273;6812;888;218;1486;192;42;5;5;0;Inf;58;"8_C4_LEMA_Bee"
8;6;8;"B2";"Fly";5;"PUPA";12;476;14;5;30;274;270;6797;903;93;1540;212;12;1;0;30;0,166666666666667;6664;"8_B2_PUPA_Fly"
8;6;8;"E5";"Fly";1;"PUPA";61;0;14;1;50;278,5;274,5;6797;903;314;1312;158;61;0;1;50;0,02;0;"8_E5_PUPA_Fly"
9;6;2;"B3";"Fly";2;"LEMA";65;438;6;2;0;35;29,5;1545;2831;647;335;41;65;6;0;0;Inf;2628;"2_B3_LEMA_Fly"
10;3;1;"C5";"Fly";1;"LEMA";80;1541;23;1;0;3,5;6,5;867;1869;441;104;15;80;1;2;0;Inf;35443;"1_C5_LEMA_Fly"
